group,tumor_variability,normal_variability,variability
LAMTOR1,4.302493414902614,4.072492119265897,17.521870525384312
INPP5F,4.383763103072035,3.9905296899544385,17.493536816535755
CROCCP2,4.214304770498874,4.150710979747094,17.492361082910232
ARHGEF18,4.33915434029069,4.023376609548043,17.45805207794443
R3HDM2,4.292150654828395,4.0633174259224125,17.440370550448513
RHBDF2,4.189519668050007,4.155322623133536,17.408805856711094
ABCC10,4.264879258292451,4.080815046963394,17.404183450721916
HSF2BP,4.3163289821324495,4.030556886658562,17.397209504017887
EIF5A2,4.233751991424244,4.105262285191074,17.38066237524655
CNTRL,4.197916688758699,4.138971234411251,17.375056419227185
SMPD3,4.1939135104424885,4.137083035897631,17.350568438073502
C17orf64,4.0713993678325044,4.260011077982213,17.34420640985625
RAPGEF5,4.304924748161559,4.025360649283172,17.32887467937481
OBSCN-AS1,4.4030268248758055,3.930786763782069,17.307359563799206
CENPW,4.013242193090754,4.308951281017022,17.292865088949966
ZNF330,4.084720985511693,4.225850489266596,17.261420175142117
LAMTOR3,4.301609152085193,4.0049093924186465,17.227554895700003
ZNF462,4.320255100419574,3.981599308573615,17.201524720692213
POC5,4.223637981395563,4.071248347652466,17.19547915283888
CAD,4.1331050162827685,4.155249253748491,17.17408153457312
CASP2,4.1826965792870014,4.1041484938533985,17.16640786612651
TTLL4,4.281072998924802,4.001186595488702,17.129371897606536
MSRA,4.185848959546776,4.091121392875291,17.124816225746596
NCK2,4.244443502641614,4.0303258328705684,17.106490294856137
RPL22,4.245450059777525,4.0247948241842515,17.087065426925303
TMEM268,3.9014345872279512,4.37217920709392,17.057771180115097
HMGN3,4.199187717845064,4.0619394968995,17.056846446010137
PTDSS2,4.301543369406264,3.9644867923206824,17.05341187460574
C5orf47,4.409468744115415,3.861555868756378,17.027409906936697
CHD8,3.993815246203824,4.252887615950136,16.985247400973087
COPA,4.246594511667601,3.9985276129373,16.980125415850893
HAT1,4.084244139747281,4.151400153329992,16.955331747983983
PIGH,4.309293680691136,3.930698363461275,16.938533618366662
MTMR14,4.248474129371814,3.985602730197228,16.932730089196593
SRPK2,4.2197533257709665,4.004401633066287,16.897587108854154
COA3,4.0311646845644455,4.17306138356492,16.82229767594655
RAB19,4.276311488117556,3.9277370223243153,16.79622695087011
SH2B3,4.107298371556753,4.084520421367785,16.776344075274203
TRAF3,3.9677358744138282,4.222156322430327,16.752401107889966
PPP2R2A,4.178028687998074,3.9994739166439754,16.709916760638546
CYFIP1,4.302946030094423,3.8706656491949305,16.65526538902618
GBA2,4.192992032852027,3.966215653757599,16.630310636778606
SELENOO,4.174688201228182,3.979259882603194,16.612169281524196
VPS33B,4.100702564283222,4.049812079856277,16.607074780731804
RNPEPL1,4.164574020052821,3.9775623723736095,16.564852919126796
ZKSCAN4,4.182878775424081,3.9591219383028076,16.56052712504266
